KIC,TIC
1718594,122673431
1718665,122673494
1718670,122673483
1718740,122673557
1718743,122673430
1718753,122673396
1718761,122673520
1718828,122680855
1718831,122680858
1718943,122680826
1718958,122680921
1718985,122680736
1719026,122680733
1719065,122680741
1719093,122680751
1719124,122680738
1719166,122680930
1719227,122680933
1719262,122680926
1719297,122680872
1719308,122680815
1719358,122680895
1719371,122680709
1719422,122783466
1719472,122783384
1719550,122783256
1719557,122783473
1719667,122783345
1719697,122783474
1719927,122783321
1719974,137097829
1720048,137097921
1720182,137097791
1720196,137097790
1720224,137097958
1720241,137097942
1720425,137097887
1720554,137147783
1720670,137147792
1720673,137147694
1720728,137147826
1720785,137147690
1720794,137147741
1720810,137147794
1720964,137147761
1721071,137147706
1721110,137147867
1721133,137147667
1721150,137147672
1721157,137147684
1721218,137147728
1721231,137147788
1721247,137306796
1721361,137306766
1721409,137306643
1721439,137306775
1721558,137306604
1721595,137306700
1721614,137306596
1721795,137306647
1721825,137306558
1721879,137306765
1721911,137306744
1722134,137314479
1722241,137314734
1722276,137314580
1722289,137314610
1722303,137314594
1722506,137314468
1722549,137314650
1722623,137314718
1722627,137314689
1722735,351053401
1722776,351053752
1722816,351053446
1722916,351053462
1722956,351053702
1723047,351053808
1723078,351053716
1723146,351053413
1723157,351053573
1723191,351053431
1723338,351053700
1723350,137346715
1723411,137346725
1723449,137346593
1723455,137346751
1723516,137346690
1723529,137346735
1723618,137346728
1723624,137346784
1723638,137346712
1723656,137346711
1723671,137346687
1723700,137346763
1723752,137346837
1723843,137346651
1723845,137346569
1723908,137346601
1723918,137346648
1723919,137346829
1723978,137346679
1723993,137346692
1724041,137346670
1724096,137488027
1724171,137488287
1724222,137488000
1724234,137488193
1724287,137488243
1724304,137488052
1724316,137488195
1724342,137488019
1724355,137488092
1724411,137488009
1724498,137488095
1724513,137488068
1724529,137488047
1724615,137488074
1724629,137488067
1724679,137488238
1724719,137488218
1724720,137488071
1724801,137488066
1724806,137488201
1724842,137546142
1724872,137546044
1724879,137546079
1724961,137545849
1724968,137545845
1724975,137546008
1725016,137545963
1725017,137545876
1725018,137546145
1725053,137545925
1725096,137545857
1725133,137545972
1725153,137545838
1725183,137546062
1725190,137545921
1725193,137546046
1725207,137545930
1725310,137545887
1725330,137545892
1725372,137546015
1725376,137546052
1725415,137546108
1725457,137546017
1725470,137545896
1725486,137545941
1725552,137546159
1725555,137545906
1725558,137545884
1725626,137638097
1725633,137638205
1725688,137638335
1725732,137638292
1725796,137638182
1725815,137638160
1725848,137638242
1725893,137638295
1725907,137638365
1725920,137638376
1725952,137638092
1725953,137638101
